DANH SÁCH TRƯỜNG TOP 2 NĂM 2026,,,
STT,TÊN TRƯỜNG,TÊN TIẾNG HÀN,KHU VỰC
1,Gachon University,가천대학교,Gyeonggi (Seongnam)
2,Catholic University of Korea,가톨릭대학교,Gyeonggi (Bucheon)
3,Kangnam University,강남대학교,Gyeonggi (Yongin)
4,Gangseo University,강서대학교,Seoul
5,Kangwon National University,강원대학교,Gangwon (Chuncheon)
6,Kyonggi University,경기대학교,Gyeonggi (Suwon)
7,Kyungnam University,경남대학교,Gyeongnam (Changwon)
8,Kyungdong University,경동대학교,Gangwon
9,Kyungpook National University,경북대학교,Daegu
10,Gyeongsang National University,경상국립대학교,Gyeongnam (Jinju)
11,Kyungwoon University,경운대학교,Gyeongbuk (Gumi)
12,Kyungil University,경일대학교,Gyeongbuk (Gyeongsan)
13,Kosin University,고신대학교,Busan
14,Kwangwoon University,광운대학교,Seoul
15,Gwangju Institute of Science and Technology (GIST),광주과학기술원,Gwangju
16,Gwangju University,광주대학교,Gwangju
17,Gwangju Women’s University,광주여자대학교,Gwangju
18,Gangneung-Wonju National University,국립강릉원주대학교,Gangwon
19,Kongju National University,국립공주대학교,Chungnam (Gongju)
20,Korea National University of Transportation,국립한국교통대학교,Chungbuk (Chungju)
21,Mokpo National University,국립목포대학교,Jeonnam (Muan)
22,Kumoh National Institute of Technology,국립금오공과대학교,Gyeongbuk (Gumi)
23,Pukyong National University,국립부경대학교,Busan
24,Suncheon National University,국립순천대학교,Jeonnam (Suncheon)
25,Changwon National University,국립창원대학교,Gyeongnam (Changwon)
26,Korea National University of Education,한국교원대학교,Chungbuk (Cheongju)
27,Korea Maritime & Ocean University,국립한국해양대학교,Busan
28,Hanbat National University,국립한밭대학교,Daejeon
29,Kookmin University,국민대학교,Seoul
30,Gimcheon University,김천대학교,Gyeongbuk (Gimcheon)
31,Nazarene University,나사렛대학교,Chungnam (Cheonan)
32,University of Seoul,서울시립대학교,Seoul
33,Dankook University,단국대학교,Gyeonggi (Yongin)
34,Daegu Catholic University,대구가톨릭대학교,Gyeongbuk (Gyeongsan)
35,Daegu University,대구대학교,Gyeongbuk (Gyeongsan)
36,Daeshin University,대신대학교,Gyeongbuk
37,Daejeon University,대전대학교,Daejeon
38,Daejin University,대진대학교,Gyeonggi (Pocheon)
39,Dongduk Women’s University,동덕여자대학교,Seoul
40,Dongmyung University,동명대학교,Busan
41,Dongseo University,동서대학교,Busan
42,Dong-A University,동아대학교,Busan
43,Dongshin University,동신대학교,Jeonnam (Naju)
44,Myongji University,명지대학교,Seoul / Gyeonggi (Yongin)
45,Baekseok University,백석대학교,Chungnam (Cheonan)
46,Sahmyook University,삼육대학교,Seoul
47,Sangmyung University,상명대학교,Seoul
48,Sogang University,서강대학교,Seoul
49,Seokyeong University,서경대학교,Seoul
50,Seoul National University of Science & Technology,서울과학기술대학교,Seoul
51,Seoul Christian University,서울기독대학교,Seoul
52,Seoul National University,서울대학교,Seoul
53,University of Seoul,서울시립대학교,Seoul
54,Seoul Women’s University,서울여자대학교,Seoul
55,Sungkyunkwan University,성균관대학교,Seoul / Gyeonggi (Suwon)
56,Semyung University,세명대학교,Chungbuk (Jecheon)
57,Soonchunhyang University,순천향대학교,Chungnam (Asan)
58,Soongsil University,숭실대학교,Seoul
59,Silla University,신라대학교,Busan
60,Shinhan University,신한대학교,Gyeonggi (Uijeongbu)
61,Anyang University,안양대학교,Gyeonggi (Anyang)
62,Yonsei University,연세대학교,Seoul
63,Yonsei University (Mirae),연세대학교(미래캠퍼스),Gangwon (Wonju)
64,Yeungnam University,영남대학교,Gyeongbuk (Gyeongsan)
65,Youngsan University,영산대학교,Busan
66,Woosuk University,우석대학교,Jeonbuk (Wanju)
67,Woosong University,우송대학교,Daejeon
68,University of Ulsan,울산대학교,Ulsan
69,Wonkwang University,원광대학교,Jeonbuk (Iksan)
70,Woosong University,우송대학교,Daejeon
71,Eulji University,을지대학교,Daejeon / Gyeonggi
72,Inje University,인제대학교,Gyeongnam (Gimhae)
73,Incheon National University,인천대학교,Incheon
74,Chonnam National University,전남대학교,Gwangju
75,Jeonbuk National University,전북대학교,Jeonbuk (Jeonju)
76,Jeonju University,전주대학교,Jeonbuk (Jeonju)
77,Chosun University,조선대학교,Gwangju
78,Jungwon University,중원대학교,Chungbuk
79,CHA University,차의과학대학교,Gyeonggi (Seongnam)
80,Changshin University,창신대학교,Gyeongnam (Changwon)
81,Cheongju University,청주대학교,Chungbuk (Cheongju)
82,Chungbuk National University,충북대학교,Chungbuk (Cheongju)
83,Pyeongtaek University,평택대학교,Gyeonggi (Pyeongtaek)
84,KAIST ,한국과학기술원,Daejeon
85,Korea National University of Arts,한국예술종합학교,Seoul
86,Korea National Sport University,한국체육대학교,Seoul
87,Hankyong National University,한경국립대학교,Gyeonggi (Anseong)
88,Handong Global University,한동대학교,Gyeongbuk (Pohang)
89,Hallym University,한림대학교,Gangwon (Chuncheon)
90,Hansei University,한세대학교,Gyeonggi (Gunpo)
91,Hanyang University (ERICA),한양대학교(ERICA캠퍼스),Gyeonggi (Ansan)
92,Hoseo University,호서대학교,Chungnam (Asan)
